Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
226,flat,sare crescent parc,sector 92,1.0,5128.0,4,3,2,1.0,Relatively New,2167.0,0,0,0,0,0,0,49
227,flat,eldeco accolade,sohna road,1.35,6136.0,3,3,3,2.0,New Property,2444.0,0,1,0,0,0,0,72
228,flat,signature global synera,sector 81,0.48,8451.0,2,2,1,7.0,Relatively New,613.0,0,0,0,0,0,2,70
229,flat,breez global hill view,sohna road,0.3,5405.0,2,2,2,6.0,New Property,605.0,0,0,0,0,0,0,109
230,flat,tulip violet,sector 69,1.9,9453.0,4,4,2,0.0,Relatively New,1819.0,0,0,0,0,0,0,49
231,house,dlf city plots,sector 26,13.5,29880.0,5,5,3,2.0,Old Property,4518.0,1,1,1,1,0,2,110
232,flat,bestech altura,sector 79,1.85,8605.0,3,3,3,7.0,New Property,1650.0,0,1,0,0,0,0,53
233,flat,dlf the skycourt,sector 86,1.72,8917.0,3,3,1,8.0,Relatively New,1746.0,0,0,0,0,1,2,49
234,flat,adani aangan galleria,sector 89,0.42,4941.0,2,2,2,3.0,Relatively New,769.0,0,0,0,0,0,0,0
235,flat,emaar gurgaon greens,sector 102,1.54,9333.0,3,3,3,12.0,Relatively New,1315.0,0,1,0,0,0,0,61
236,flat,bestech park view ananda,sector 81,0.95,6985.0,2,2,2,14.0,Relatively New,1260.0,0,0,0,0,0,2,165
237,flat,vatika the seven lamps,sector 82,0.89,8847.0,2,2,2,14.0,Relatively New,1202.0,1,0,0,0,0,2,129
238,flat,dlf regency park,sector 28,2.35,13225.0,3,3,2,18.0,Old Property,1608.0,0,1,0,0,0,0,120
239,flat,imperia the esfera,sector 37c,1.1,5405.0,3,4,3,9.0,Relatively New,1899.0,1,1,0,0,0,0,49
240,house,independent,sector 43,14.0,39886.0,9,9,3+,4.0,Moderately Old,3510.0,0,1,0,0,0,0,7
241,flat,conscient heritage max,sector 102,1.7,11333.0,3,4,3+,8.0,Relatively New,1700.0,0,1,0,1,0,2,174
242,flat,krisumi waterfall residences,sector 36a,2.3,15551.0,2,2,2,23.0,Relatively New,1479.0,0,0,0,0,0,0,58
243,flat,vatika inxt floors,sector 82a,1.25,8333.0,3,2,3,2.0,Relatively New,1667.0,1,0,0,1,0,2,94
244,flat,m3m heights,sector 65,1.9,13991.0,2,2,2,40.0,Relatively New,1358.0,0,0,0,0,0,0,48
